# Energy_meV Original Background Corrected FinalWeight
-1.893216767925144666e+02 1.085049962534606796e-08 nan nan nan
-1.884026395265313738e+02 1.169941737040882469e-08 nan nan nan
-1.874836022605482810e+02 1.206879680452091939e-08 nan nan nan
-1.865645649945652167e+02 1.254096310795231034e-08 nan nan nan
-1.856455277285821239e+02 1.325351836768675129e-08 nan nan nan
-1.847264904625990596e+02 1.393553234192383748e-08 nan nan nan
-1.838074531966159668e+02 1.454754202934874555e-08 nan nan nan
-1.828884159306329025e+02 1.523231808623163909e-08 nan nan nan
-1.819693786646498381e+02 1.626697187513986290e-08 nan nan nan
-1.810503413986667454e+02 1.660296601262739737e-08 nan nan nan
-1.801313041326836526e+02 1.754945593689262780e-08 nan nan nan
-1.792122668667005598e+02 1.856315917401397215e-08 nan nan nan
-1.782932296007174955e+02 1.942561768442968181e-08 nan nan nan
-1.773741923347344027e+02 2.069877229164865960e-08 nan nan nan
-1.764551550687513384e+02 2.227041430638863842e-08 nan nan nan
-1.755361178027682740e+02 2.408432817504259230e-08 nan nan nan
-1.746170805367851813e+02 2.595313546132502425e-08 nan nan nan
-1.736980432708021169e+02 2.801083755205437467e-08 nan nan nan
-1.727790060048190242e+02 2.927429028825227788e-08 nan nan nan
-1.718599687388359314e+02 3.136340588166787405e-08 nan nan nan
-1.709409314728528386e+02 3.280967958243066833e-08 nan nan nan
-1.700218942068697743e+02 3.569187216716852837e-08 nan nan nan
-1.691028569408866815e+02 3.856956254055436433e-08 nan nan nan
-1.681838196749036172e+02 3.893606129906371102e-08 nan nan nan
-1.672647824089205528e+02 4.056465778276089400e-08 nan nan nan
-1.663457451429374601e+02 4.340459158613427520e-08 nan nan nan
-1.654267078769543957e+02 4.604539256427481955e-08 nan nan nan
-1.645076706109713029e+02 4.883881543805234188e-08 nan nan nan
-1.635886333449882102e+02 5.218250188557512471e-08 nan nan nan
-1.626695960790051174e+02 5.475392824190088894e-08 nan nan nan
-1.617505588130220531e+02 5.794052640359115870e-08 nan nan nan
-1.608315215470389887e+02 6.092571129841048448e-08 nan nan nan
-1.599124842810558960e+02 6.536546484664224570e-08 nan nan nan
-1.589934470150728316e+02 6.865698103016097832e-08 nan nan nan
-1.580744097490897389e+02 7.419970512960556141e-08 nan nan nan
-1.571553724831066745e+02 7.830333353247336571e-08 nan nan nan
-1.562363352171235817e+02 8.081033446696299140e-08 nan nan nan
-1.553172979511404890e+02 8.544354453501265882e-08 nan nan nan
-1.543982606851573962e+02 9.190080089548823392e-08 nan nan nan
-1.534792234191743319e+02 9.981994354031635624e-08 nan nan nan
-1.525601861531912675e+02 1.061227574345794208e-07 nan nan nan
-1.516411488872081748e+02 1.107987620109103885e-07 nan nan nan
-1.507221116212251104e+02 1.163314444245443023e-07 nan nan nan
-1.498030743552420176e+02 1.231366557508837148e-07 nan nan nan
-1.488840370892589533e+02 1.300738388508920015e-07 nan nan nan
-1.479649998232758605e+02 1.377517404405836695e-07 nan nan nan
-1.470459625572927962e+02 1.465820646223593133e-07 nan nan nan
-1.461269252913097034e+02 1.585003468889813086e-07 nan nan nan
-1.452078880253266107e+02 1.669631064634472462e-07 nan nan nan
-1.442888507593435463e+02 1.765488734173314299e-07 nan nan nan
-1.433698134933604535e+02 1.920315123824171233e-07 nan nan nan
-1.424507762273773892e+02 2.086467106193993367e-07 nan nan nan
-1.415317389613942964e+02 2.174375564785182887e-07 nan nan nan
-1.406127016954112321e+02 2.333431285307939788e-07 nan nan nan
-1.396936644294281678e+02 2.532388977196440415e-07 nan nan nan
-1.387746271634450750e+02 2.722535038335921434e-07 nan nan nan
-1.378555898974619822e+02 2.895124982142695954e-07 nan nan nan
-1.369365526314788895e+02 3.058977118855794193e-07 nan nan nan
-1.360175153654958251e+02 3.298875706603906378e-07 nan nan nan
-1.350984780995127323e+02 3.513591107309035574e-07 nan nan nan
-1.341794408335296680e+02 3.885497776947551707e-07 nan nan nan
-1.332604035675465752e+02 4.454040217946635795e-07 nan nan nan
-1.323413663015635109e+02 4.941478420765574531e-07 nan nan nan
-1.314223290355804181e+02 5.602183568108339770e-07 nan nan nan
-1.305032917695973538e+02 6.607472964991569615e-07 nan nan nan
-1.295842545036142610e+02 8.187939772556924219e-07 nan nan nan
-1.286652172376311967e+02 1.051745906215749565e-06 nan nan nan
-1.277461799716481039e+02 1.321777635214084260e-06 nan nan nan
-1.268271427056650253e+02 1.737335787648193639e-06 nan nan nan
-1.259081054396819468e+02 2.132907792814398293e-06 nan nan nan
-1.249890681736988682e+02 2.287177291011415242e-06 nan nan nan
-1.240700309077157897e+02 2.477885257825666768e-06 nan nan nan
-1.231509936417326969e+02 2.708067256591704369e-06 nan nan nan
-1.222319563757496184e+02 2.868580089030660932e-06 nan nan nan
-1.213129191097665398e+02 3.033257290158747640e-06 nan nan nan
-1.203938818437834755e+02 3.095875030973941064e-06 nan nan nan
-1.194748445778003827e+02 2.917659508104164410e-06 nan nan nan
-1.185558073118173041e+02 2.951534173676842227e-06 nan nan nan
-1.176367700458342256e+02 3.090619073252348210e-06 nan nan nan
-1.167177327798511470e+02 3.106239112658663416e-06 nan nan nan
-1.157986955138680685e+02 3.074658734488389448e-06 nan nan nan
-1.148796582478849757e+02 3.107141853013891301e-06 nan nan nan
-1.139606209819018972e+02 3.042953269286958372e-06 nan nan nan
